id,text,unit,updated,firstPeriod,latestPeriod,active,variables
KVUBIB2,Besøg på bibliotek (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['formål', 'alder og køn', 'tid']"
KVUBIB3,Online biblioteksbesøg (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['digitale tjenester', 'alder og køn', 'tid']"
KVUARFS1,Forbrug af film og serier (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'køn', 'alder', 'tid']"
KVUARFS2,Forbrug af film og serier (lokation) (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['lokation', 'køn', 'alder', 'tid']"
KVUARFS3,Forbrug af film og serier (lokation) (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['adgang', 'køn', 'alder', 'tid']"
KVUFS1,Forbrug af film og serier (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['enheder', 'alder og køn', 'tid']"
KVUFS2,Forbrug af film og serier (lokation) (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['lokation', 'alder og køn', 'tid']"
KVUFS3,Forbrug af film og serier (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['adgang', 'alder og køn', 'tid']"
KVUFS4,Forbrug af film og serier (særmodul),pct.,2020-03-02T08:00:00,2019K3,2019K3,True,"['nationalitet', 'type', 'alder og køn', 'tid']"
KVUARSC1,Forbrug af scenekunst (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['adgang', 'køn', 'alder', 'tid']"
KVUARSC2,Forbrug af scenekunst (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['genre', 'køn', 'alder', 'tid']"
KVUARMK1,Forbrug af musik (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['lokation', 'køn', 'alder', 'tid']"
KVUARMK2,Forbrug af musik (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['enhed', 'køn', 'alder', 'tid']"
KVUARMK3,Forbrug af musik (år),pct.,2020-05-01T08:00:00,2018,2018,True,"['genre', 'køn', 'alder', 'tid']"
KVUSC1,Forbrug af scenekunst (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['adgang', 'alder og køn', 'tid']"
KVUSC2,Forbrug af scenekunst (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['genre', 'alder og køn', 'tid']"
KVUMK01,Forbrug af musik (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['lokation', 'alder og køn', 'tid']"
KVUMK02,Forbrug af musik (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['enhed', 'alder og køn', 'tid']"
KVUMK03,Forbrug af musik (kvartal),pct.,2020-06-02T08:00:00,2018K3,2020K1,True,"['genre', 'alder og køn', 'tid']"
KVUARLI1,Forbrug af litteratur (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['enhed', 'køn', 'alder', 'tid']"
KVUARLI2,Forbrug af skønlitteratur (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['adgang', 'køn', 'alder', 'tid']"
KVUARNY1,Forbrug af nyheder (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['adgang', 'køn', 'alder', 'tid']"
